མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན,,,,,
,,1812,5,《པེ་》《སྣར་》,མོས་པ།,,,,,
,,1813,6,《པེ་》《སྣར་》,གི།,,,,,
,325,1814,1,《པེ་》《སྣར་》,བསྐྱོད།,,,,,
,,1815,2,《པེ་》《སྣར་》,mདེ་བཞིན།,,,,,
,,1816,3,《པེ་》《སྣར་》,འགྱུར།,,,,,
,,1817,4,《པེ་》《སྣར་》,སྒྱུར།,,,,,
,326,1818,1,《པེ་》《སྣར་》《ཅོ་》,འགྱུར་བའོ།,,,,,
,,1819,2,《པེ་》《སྣར་》,སྒྱུར།,,,,,
,,1820,3,《པེ་》《སྣར་》,ལས།,,,,,
,,1821,4,《པེ་》《སྣར་》,ལས།,,,,,
,,1822,5,《པེ་》《སྣར་》,བསྒྱུར།,,,,,
,,1823,6,《པེ་》《སྣར་》,སྒྱུར།,,,,,
,,1824,7,《པེ་》《སྣར་》,སྒྱུར།,,,,,
,,1825,8,《པེ་》《སྣར་》,ལས།,,,,,
,,1826,9,《པེ་》《སྣར་》,གིས།,,,,,
,,1827,10,《སྣར་》,གའི།,,,,,
,,1828,11,《པེ་》《སྣར་》,mསྙེད།,,,,,
,,1829,12,《པེ་》《སྣར་》,ཡུན་དུས།,,,,,
,,1830,13,《པེ་》《སྣར་》,པོས།,,,,,
,327,1831,1,《སྣར་》,ཀྱིས།,,,,,
,,1832,2,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,1833,3,《པེ་》《སྣར་》,གྱིས།,,,,,
,328,1834,1,《པེ་》《སྣར་》,pཔ།,,,,,
,,1835,2,《པེ་》《སྣར་》,རྟོག,,,,,
,,1836,3,《པེ་》《སྣར་》,གཞག,,,,,
,,1837,4,《པེ་》《སྣར་》,གཞག,,,,,
,,1838,5,《པེ་》《སྣར་》,བསྒྲུབ།,,,,,
,,1839,6,《པེ་》《སྣར་》,པ་སྟེ། འདི་ནི།,,,,,
,,1840,7,《པེ་》《སྣར་》,བཅའ་བའོ།,,,,,
,,1841,8,《པེ་》《སྣར་》,རྟོག,,,,,
,,1842,9,《པེ་》《སྣར་》,mནི།,,,,,
,,1843,10,《པེ་》,པར་མ་རྟོག,《སྣར་》,པར་མ་རྟོགས།,,,
,,1844,11,《སྣར་》,ནི།,,,,,
,,1845,12,《སྣར་》,mམ།,,,,,
,,1846,13,《སྣར་》,པ།,,,,,
,329,1847,1,《པེ་》,རྣམ་པ།,《སྣར་》,རྣམས།,,,
,,1848,2,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,1849,3,《པེ་》《སྣར་》,pདང་།,,,,,
,,1850,4,《པེ་》《སྣར་》,མོས།,,,,,
,,1851,5,《པེ་》《སྣར་》,ཞེས།,,,,,
,,1852,6,《པེ་》《སྣར་》,mཔ།,,,,,
,,1853,7,《པེ་》《སྣར་》,ཞེས།,,,,,
,,1854,8,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,1855,9,《པེ་》《སྣར་》,བྱ་བའོ།,,,,,
,,1856,10,《པེ་》《སྣར་》,ཞེས།,,,,,
,,1857,11,《པེ་》《སྣར་》,ཞེས།,,,,,
,330,1858,1,《པེ་》《སྣར་》,mབྱ་བ།,,,,,
,,1859,2,《པེ་》《སྣར་》,ཞིང་།,,,,,
,,1860,3,《པེ་》《སྣར་》,mབྱ་བ།,,,,,
,,1861,4,《པེ་》,གྱིས།,,,,,
,,1862,5,《པེ་》《སྣར་》,ཏོ།,,,,,
,,1863,6,《པེ་》《སྣར་》,mལ།,,,,,
,,1864,7,《པེ་》《སྣར་》,རྨས།,,,,,
,,1865,8,《པེ་》,རྟོགས།,,,,,
,,1866,9,《པེ་》《སྣར་》,mཔ།,,,,,
,331,1867,1,《པེ་》《སྣར་》,སྤྱད།,,,,,
,,1868,2,《པེ་》《སྣར་》,པའི།,,,,,
,,1869,3,《པེ་》《སྣར་》,ལ།,,,,,
,,1870,4,《པེ་》《སྣར་》,པའི།,,,,,
,,1871,5,《པེ་》《སྣར་》,pཅེས།,,,,,
,,1872,6,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,1873,7,《པེ་》《སྣར་》,རིག,,,,,
,332,1874,1,《པེ་》《སྣར་》,ཏེ།,,,,,
,,1875,2,《པེ་》《སྣར་》,གིས།,,,,,
,,1876,3,《པེ་》《སྣར་》,པའི།,,,,,
,,1877,4,《པེ་》《སྣར་》,གི།,,,,,
,,1878,5,《སྣར་》,སྤྱོད།,,,,,
,,1879,6,《པེ་》《སྣར་》,ཏེ།,,,,,
,333,1880,1,《པེ་》《སྣར་》,གི།,,,,,
,,1881,2,《པེ་》《སྣར་》,mརང་གི།,,,,,
,,1882,3,《པེ་》《སྣར་》,གྱིས།,,,,,
,,1883,4,《པེ་》《སྣར་》,ལ།,,,,,
,,1884,5,《པེ་》《སྣར་》,རྟོགས།,,,,,
,334,1885,1,《པེ་》《སྣར་》,པ།,,,,,
,,1886,2,《སྣར་》,དོ།།,,,,,
,,1887,3,《པེ་》《སྣར་》,གི།,,,,,
,,1888,4,《པེ་》《སྣར་》,ལ།,,,,,
,,1889,5,《པེ་》《སྣར་》,ལ།,,,,,
,335,1890,1,《པེ་》《སྣར་》,བྱ་སྟེ།,,,,,
,,1891,2,《པེ་》《སྣར་》,སྡུའོ།,,,,,
,,1892,3,《པེ་》《སྣར་》,mམ།,,,,,
,,1893,4,《པེ་》《སྣར་》,པར།,,,,,
,,1894,5,《པེ་》《སྣར་》,mསའི།,,,,,
,336,1895,1,《པེ་》《སྣར་》,mལ།,,,,,
,,1896,2,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,1897,3,《པེ་》《སྣར་》,ཕྱིར།,,,,,
,,1898,4,《པེ་》《སྣར་》,mཀྱི།,,,,,
,,1899,5,《པེ་》《སྣར་》,ཇི།,,,,,
,,1900,6,《པེ་》《སྣར་》,mས།,,,,,
,337,1901,1,《པེ་》《སྣར་》,དཔྱད།,,,,,
,,1902,2,《པེ་》《སྣར་》,mཅེས།,,,,,
,,1903,3,《པེ་》《སྣར་》,པ།,,,,,
,338,1904,1,《པེ་》《སྣར་》,རྗེད་བྱེད།,,,,,
,,1905,2,《པེ་》《སྣར་》,ལ།,,,,,
,,1906,3,《པེ་》《སྣར་》,སྤངས་པའི།,,,,,
,,1907,4,《པེ་》《སྣར་》,mནི།,,,,,
,,1908,5,《པེ་》,སའི།,《སྣར་》,པའི།,,,
,339,1909,1,《པེ་》《སྣར་》,pལས།,,,,,
,,1910,2,《སྣར་》,mམ།,,,,,
,,1911,3,《སྣར་》,mམ།,,,,,
,,1912,4,《པེ་》《སྣར་》,ལྟ།,,,,,
,,1913,5,《པེ་》《སྣར་》,mཔ།,,,,,
,,1914,6,《པེ་》《སྣར་》,mཔ་འཛིན།,,,,,
,,1915,7,《པེ་》《སྣར་》,པའི།,,,,,
,,1916,8,《པེ་》《སྣར་》,བའི།,,,,,
,340,1917,1,《པེ་》《སྣར་》,པ།,,,,,
,,1918,2,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,1919,3,《པེ་》《སྣར་》,རྟག,,,,,
,,1920,4,《པེ་》《སྣར་》,ནར་སྤངས་པའོ།,,,,,
,,1921,5,《པེ་》《སྣར་》,རིག,,,,,
,341,1922,1,《པེ་》《སྣར་》,སྤངས་པའི།,,,,,
,,1923,2,《པེ་》《སྣར་》,པོའི།,,,,,
,,1924,3,《པེ་》《སྣར་》,ན།,,,,,
,,1925,4,《པེ་》《སྣར་》,འདྲངས།,,,,,
,342,1926,1,《པེ་》《སྣར་》,གྱིས།,,,,,
,,1927,2,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,1928,3,《པེ་》《སྣར་》,རྗེས་སུ།,,,,,
,,1929,4,《པེ་》《སྣར་》,གི།,,,,,
,,1930,5,《སྣར་》,དག,,,,,
,,1931,6,《པེ་》《སྣར་》,བརྟག,,,,,
,343,1932,1,《པེ་》《སྣར་》,གཞག,,,,,
,,1933,2,《པེ་》《སྣར་》,རིག,,,,,
,,1934,3,《པེ་》《སྣར་》,བསྡུད།,,,,,
,,1935,4,《པེ་》《སྣར་》,འདིས།,,,,,
,,1936,5,《པེ་》《སྣར་》,དགག,,,,,
,,1937,6,《པེ་》《སྣར་》,པ་དགག་པས་ཏེ།,,,,,
,344,1938,1,《པེ་》《སྣར་》,སྐྱེ་ཤིང་།,,,,,
,,1939,2,《པེ་》《སྣར་》,བརྟགས།,,,,,
,,1940,3,《པེ་》《སྣར་》,ནས།,,,,,
,,1941,4,《པེ་》《སྣར་》,གི།,,,,,
,,1942,5,《པེ་》《སྣར་》,པས།,,,,,
,,1943,6,《པེ་》《སྣར་》,གིས།,,,,,
,,1944,7,《པེ་》《སྣར་》,mདང་།,,,,,
,,1945,8,《པེ་》《སྣར་》,mདང་།,,,,,
,,1946,9,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,1947,10,《པེ་》《སྣར་》,པ་ཉིད།,,,,,
,345,1948,1,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,1949,2,《པེ་》《སྣར་》,བསྟན།,,,,,
,,1950,3,《སྣར་》,གྱི།,,,,,
,,1951,4,《པེ་》《སྣར་》,པ།,,,,,
,,1952,5,《པེ་》《སྣར་》,པ།,,,,,
,346,1953,1,《པེ་》《སྣར་》,mདང་།,,,,,
,,1954,2,《པེ་》《སྣར་》,གིས།,,,,,
,,1955,3,《པེ་》《སྣར་》,ལྟ།,,,,,
,,1956,4,《པེ་》《སྣར་》,བོར།,,,,,
,,1957,5,《པེ་》《སྣར་》,སྨྲ་བས།,,,,,
,,1958,6,《པེ་》《སྣར་》,པར།,,,,,
,,1959,7,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,1960,8,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,347,1961,1,《པེ་》《སྣར་》,པས།,,,,,
,,1962,2,《སྣར་》,mཕྱིར།,,,,,
,,1963,3,《པེ་》《སྣར་》,mན།,,,,,
,348,1964,1,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,1965,2,《པེ་》《སྣར་》,འགྲོལ།,,,,,
,,1966,3,《པེ་》《སྣར་》,mཔ།,,,,,
,,1967,4,《སྣར་》,དེའི།,,,,,
,349,1968,1,《སྣར་》,ཐོད་པའོ།,,,,,
,,1969,2,《པེ་》《སྣར་》,ཐོབ།,,,,,
,,1970,3,《སྣར་》,རྣམས།,,,,,
,,1971,4,《སྣར་》,བསྟོན།,,,,,
,,1972,5,《པེ་》《སྣར་》,པའི།,,,,,
,350,1973,1,《པེ་》《སྣར་》,mནི།,,,,,
,,1974,2,《སྣར་》,mཔ།,,,,,
,,1975,3,《པེ་》《སྣར་》,པ།,,,,,
,,1976,4,《པེ་》《སྣར་》,སོར།,,,,,
,,1977,5,《པེ་》《སྣར་》,ཅིག,,,,,
,341,1978,1,《པེ་》《སྣར་》,རྟོག,,,,,
,,1979,2,《པེ་》《སྣར་》,གཉུག་མ།,,,,,
,,1980,3,《པེ་》《སྣར་》,ལྟ།,,,,,
,,1981,4,《པེ་》《སྣར་》,pབྱ་བ།,,,,,
,,1982,5,《པེ་》《སྣར་》,གི།,,,,,
,,1983,6,《པེ་》《སྣར་》,pལ།,,,,,
,352,1984,1,《པེ་》《སྣར་》,གི།,,,,,
,,1985,2,《སྣར་》,mདེ།,,,,,
,,1986,3,《སྣར་》,ལྟར།,,,,,
,353,1987,1,《པེ་》《སྣར་》,རྒྱུད།,,,,,
,,1988,2,《པེ་》《སྣར་》,བསྐྱེད་དེ་རིག,《ཅོ་》,བསྐྱེད་དེ་རིགས།,,,
,,1989,3,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,1990,4,《ཅོ་》,བསྐྱེད།,,,,,
,,1991,5,《པེ་》《སྣར་》,mགི།,,,,,
,,1992,6,《པེ་》,རྟོག,,,,,
,354,1993,1,《ཅོ་》,བསྐྱེད།,,,,,
,,1994,2,《པེ་》《སྣར་》,གཞན་པ།,,,,,
,,1995,3,《པེ་》《སྣར་》《ཅོ་》,བསྐྱེད།,,,,,
,,1996,4,《པེ་》《སྣར་》,བསམ།,,,,,
,,1997,5,《པེ་》《སྣར་》,གྱིས།,,,,,
,,1998,6,《པེ་》《སྣར་》,བསྐྱེད།,,,,,
,,1999,7,《པེ་》《སྣར་》,བསྐྱེད།,,,,,
,355,2000,1,《པེ་》《སྣར་》,ལས།,,,,,
,356,2001,1,《པེ་》《སྣར་》,གི།,,,,,
,,2002,2,《པེ་》《སྣར་》,གི།,,,,,
,,2003,3,《པེ་》《སྣར་》,གི།,,,,,
,,2004,4,《པེ་》《སྣར་》,གི།,,,,,
,a,2005,5,《སྣར་》,གི།,,,,,
,357,2006,1,《སྣར་》,གི།,,,,,
,,2007,2,《པེ་》《སྣར་》,བཏགས།,,,,,
,,2008,3,《པེ་》,pཔ།,,,,,
,,2009,4,《སྣར་》,བསམ།,,,,,
,358,2010,1,《པེ་》《སྣར་》,པ།,,,,,
,,2011,2,《པེ་》《སྣར་》,གི་ཚད་མ་ནི།,,,,,
,,2012,3,《པེ་》《སྣར་》,mལ།,,,,,
,,2013,4,《པེ་》《སྣར་》,pལ།,,,,,
,,2014,5,《པེ་》《སྣར་》,སོ་རང་གི།,,,,,
,,2015,6,《པེ་》,རྟོག,,,,,
,359,2016,1,《པེ་》《སྣར་》,པས།,,,,,
,,2017,2,《པེ་》《སྣར་》,གིས།,,,,,
,,2018,3,《པེ་》《སྣར་》,ནི།,,,,,
,,2019,4,《པེ་》《སྣར་》,mཆོས།,,,,,
,,2020,5,《པེ་》《སྣར་》,ལས།,,,,,
,360,2021,1,《པེ་》《སྣར་》,སྤངས་པའོ།,,,,,
,,2022,2,《སྣར་》,mཔ།,,,,,
,,2023,3,《པེ་》《སྣར་》,mལོ།,,,,,
,,2024,4,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,2025,5,《པེ་》《སྣར་》,mཉིད།,,,,,
,,2026,6,《པེ་》《སྣར་》,ནོ།།,,,,,
,361,2027,1,《པེ་》《སྣར་》,mདོན།,,,,,
,,2028,2,《པེ་》《སྣར་》,འཛི།,,,,,
,,2029,3,《པེ་》《སྣར་》,mན།,,,,,
,,2030,4,《པེ་》《སྣར་》,འགལ།,,,,,
,,2031,5,《པེ་》《སྣར་》,རྟོགས།,,,,,
,,2032,6,《སྣར་》,ངེས།,,,,,
,362,2033,1,《པེ་》《སྣར་》,རྟོགས།,,,,,
,,2034,2,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,2035,3,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,2036,4,《པེ་》《སྣར་》,བལྟ།,,,,,
,,2037,5,《པེ་》《སྣར་》,mབདེན།,,,,,
,,2038,6,《པེ་》《སྣར་》,བཅད།,,,,,
,363,2039,1,《པེ་》《སྣར་》,ན།,,,,,
,,2040,2,《པེ་》《སྣར་》,པར།,,,,,
,,2041,3,《སྣར་》,རྟག,,,,,
,,2042,4,《པེ་》《སྣར་》,བྱུང་།,,,,,
,364,2043,1,《པེ་》《སྣར་》,དེ།,,,,,
,,2044,2,《པེ་》《སྣར་》,mཟག་པ་ཉིད།,,,,,
,,2045,3,《པེ་》《སྣར་》,གི།,,,,,
,,2046,4,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,2047,5,《པེ་》《སྣར་》,བྱུང་།,,,,,
,365,2048,1,《པེ་》《སྣར་》,mཔའི།,,,,,
,,2049,2,《པེ་》《སྣར་》,pཀྱང་།,,,,,
,,2050,3,《པེ་》《སྣར་》,mཉིད།,,,,,
,,2051,4,《པེ་》《སྣར་》,mཔ།,,,,,
,366,2052,1,《པེ་》《སྣར་》,པའི་ཕྱིར།,,,,,
,,2053,2,《པེ་》《སྣར་》,དེ།,,,,,
,367,2054,1,《པེ་》《སྣར་》,འཛིན།,,,,,
,,2055,2,《པེ་》《སྣར་》,བ་བྱའོ།,,,,,
,,2056,3,《པེ་》《སྣར་》,པར།,,,,,
,368,2057,1,《པེ་》《སྣར་》,འཕོངས།,,,,,
,,2058,2,《པེ་》《སྣར་》,འཕོངས།,,,,,
,,2059,3,《པེ་》《སྣར་》,གི།,,,,,
,,2060,4,《སྣར་》,པས།,,,,,
,,2061,5,《པེ་》《སྣར་》,pཞེས།,,,,,
,369,2062,1,《པེ་》《སྣར་》,mདང་།,,,,,
,,2063,2,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,2064,3,《སྣར་》,mརོ།,,,,,
,370,2065,1,《པེ་》《སྣར་》,གིས།,,,,,
,,2066,2,《པེ་》《སྣར་》,པོར།,,,,,
,,2067,3,《པེ་》《སྣར་》,སྐྱེད།,,,,,
,,2068,4,《པེ་》《སྣར་》,mདེ།,,,,,
,,2069,5,《པེ་》《སྣར་》,སྲེད།,,,,,
,,2070,6,《པེ་》《སྣར་》,བསམས།,,,,,
,371,2071,1,《པེ་》《སྣར་》,སྲེད།,,,,,
,,2072,2,《པེ་》《སྣར་》,རྩའི།,,,,,
,,2073,3,《སྣར་》,mངེ་།,,,,,
,,2074,4,《པེ་》《སྣར་》,སྤངས།,,,,,
,,2075,5,《པེ་》《སྣར་》,ལས།,,,,,
,,2076,6,《པེ་》《སྣར་》,གྱིས།,,,,,
,372,2077,1,《པེ་》《སྣར་》,དེའི།,,,,,
,,2078,2,《པེ་》《སྣར་》,སྐྱེད།,,,,,
,,2079,3,《པེ་》《སྣར་》,ལ།,,,,,
,,2080,4,《པེ་》《སྣར་》,pཞེས་བྱ།,,,,,
,,2081,5,《པེ་》《སྣར་》,ལས།,,,,,
,373,2082,1,《པེ་》《སྣར་》,གིས།,,,,,
,,2083,2,《པེ་》《སྣར་》,ལས།,,,,,
,,2084,3,《པེ་》《སྣར་》,mཔ།,,,,,
,,2085,4,《པེ་》《སྣར་》,mནུས་པ།,,,,,
,374,2086,1,《པེ་》《སྣར་》,ན།,,,,,
,,2087,2,《པེ་》《སྣར་》,pབ།,,,,,
,,2088,3,《པེ་》《སྣར་》,mདང་།,,,,,
,375,2089,1,《པེ་》《སྣར་》,mམྱ་ངན་ལས་འདས་པ་ཞེས་བྱའོ།།,,,,,
,,2090,2,《པེ་》《སྣར་》,རྟོགས།,,,,,
,376,2091,1,《པེ་》《སྣར་》,ནོ།།,,,,,
,,2092,2,《པེ་》《སྣར་》,པས།,,,,,
,377,2093,1,《པེ་》《སྣར་》,བཞི།,,,,,
,378,2094,1,《པེ་》《སྣར་》,mནི།,,,,,
,,2095,2,《པེ་》《སྣར་》,བཞི།,,,,,
,,2096,3,《པེ་》《སྣར་》,ཕྱིར།,,,,,
,,2097,4,《པེ་》《སྣར་》,mཐ་དད་པ་དང་།,,,,,
,379,2098,1,《པེ་》《སྣར་》,པས།,,,,,
,,2099,2,《པེ་》《སྣར་》,གི།,,,,,
,,2100,3,《པེ་》《སྣར་》,mལན།,,,,,
,,2101,4,《པེ་》《སྣར་》,གིས།,,,,,
,,2102,5,《སྣར་》,mནོ།,,,,,
,380,2103,1,《པེ་》《སྣར་》,དེ།,,,,,
,,2104,2,《པེ་》《སྣར་》,pབ།,,,,,
,,2105,3,《པེ་》《སྣར་》,mདང་།,,,,,
,,2106,4,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,2107,5,《པེ་》《སྣར་》,mཔར།,,,,,
,,2108,6,《པེ་》《སྣར་》,རྟོག,,,,,
,,2109,7,《པེ་》《སྣར་》,ཀྱི།,,,,,
,381,2110,1,《སྣར་》,pད།,,,,,
,,2111,2,《པེ་》《སྣར་》,pཔ།,,,,,
,,2112,3,《པེ་》《སྣར་》,རྟོག,,,,,
,,2113,4,《པེ་》《སྣར་》,པའི།,,,,,
,,2114,5,《པེ་》《སྣར་》,བསམས།,,,,,
,382,2115,1,《པེ་》《སྣར་》,པོའི།,,,,,
,,2116,2,《པེ་》《སྣར་》,ཀྱི་བསྒོམས།,,,,,
,,2117,3,《པེ་》《སྣར་》,པ།,,,,,
,,2118,4,《པེ་》《སྣར་》,mདག,,,,,
,,2119,5,《པེ་》《སྣར་》,བསྡུས།,,,,,
,383,2120,1,《པེ་》《སྣར་》,སྔོ།,,,,,
,,2121,2,《པེ་》《སྣར་》,mཔ་ཡིན།,,,,,
,,2122,3,《པེ་》《སྣར་》,པ།,,,,,
,,2123,4,《པེ་》《སྣར་》,བསྡུས།,,,,,
,384,2124,1,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,2125,2,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,2126,3,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,2127,4,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,2128,5,《པེ་》《སྣར་》,ལ།,,,,,
,285,2129,1,《པེ་》《སྣར་》,ལས།,,,,,
,,2130,2,《པེ་》《སྣར་》,མཆིས།,,,,,
,386,2131,1,《པེ་》《སྣར་》,mསོ།,,,,,
,,2132,2,《པེ་》《སྣར་》,pའདིར་བརྟགས་པ་རྣམ་བཞི་ཡོད་པ་མ་ཡོད་ནོ།།,,,,,
,,2133,3,《པེ་》《སྣར་》,mདེ།,,,,,
,,2134,4,《པེ་》《སྣར་》,བསྐུར་བ།,,,,,
,,2135,5,《པེ་》《སྣར་》,pམ།,,,,,
,,2136,6,《པེ་》《སྣར་》,mདེ།,,,,,
,387,2137,1,《པེ་》《སྣར་》,mཆོས་དང་།,,,,,
,,2138,2,《པེ་》《སྣར་》,pདེ།,,,,,
,,2139,3,《པེ་》《སྣར་》,pལས།,,,,,
,,2140,4,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,2141,5,《པེ་》《སྣར་》,ལས།,,,,,
,,2142,6,《པེ་》《སྣར་》,གཞག,,,,,
,388,2143,1,《སྣར་》,mདང་པོ།,,,,,
,,2144,2,《པེ་》《སྣར་》,ན།,,,,,
,,2145,3,《པེ་》《སྣར་》,mདེའི་དེ།,,,,,
,,2146,4,《པེ་》《སྣར་》,པའི།,,,,,
,,2147,5,《སྣར་》,འདི།,,,,,
,389,2148,1,《པེ་》《སྣར་》《ཅོ་》,pལྡན།,,,,,
,,2149,2,《པེ་》《སྣར་》,གི།,,,,,
,,2150,3,《པེ་》《སྣར་》,ནི།,,,,,
,390,2151,1,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,2152,2,《པེ་》《སྣར་》,རྟོག,,,,,
,,2153,3,《པེ་》《སྣར་》,བརྟགས།,,,,,
,,2154,4,《པེ་》《སྣར་》,བརྣན་ཏེ་བརྟགས།,,,,,
,,2155,5,《པེ་》《སྣར་》,པ།,,,,,
,,2156,6,《པེ་》《སྣར་》,ཞེས།,《ཅོ་》,ཅེས་ཞེས།,,,
,,2157,7,《སྣར་》,mསུམ།,,,,,
,391,2158,1,《པེ་》《སྣར་》,དག་གི།,,,,,
,,2159,2,《པེ་》《སྣར་》,རྟོག,,,,,
,,2160,3,《པེ་》《སྣར་》,དེ།,,,,,
,392,2161,1,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,2162,2,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,2163,3,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,2164,4,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,2165,5,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,2166,6,《པེ་》《སྣར་》,འཐོབ།,,,,,
,,2167,7,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,2168,8,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,393,2169,1,《པེ་》,སྤང་བར་བྱ་བའི།,《སྣར་》,སྤངས་པར་བྱ་བའི།,,,
,,2170,2,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,2171,3,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,2172,4,《པེ་》,བརྟེན་ཏེ་བརྟགས།,《སྣར་》,བརྟན་ཏེ་བརྟགས།,,,
,,2173,5,《པེ་》《སྣར་》,mབདེན་པའི།,,,,,
,,2174,6,《པེ་》《སྣར་》,pནི།,,,,,
,,2175,7,《པེ་》《སྣར་》,ཏོ།།,,,,,
,,2176,8,《པེ་》《སྣར་》,ལས།,,,,,
,394,2177,1,《པེ་》《སྣར་》,mདེ།,,,,,
,,2178,2,《སྣར་》,pཔ།,,,,,
,,2179,3,《པེ་》《སྣར་》,གྱི།,,,,,
,395,2180,1,《སྣར་》,mཡང་།,,,,,
,,2181,2,《པེ་》《སྣར་》,གྱི།,,,,,
,,2182,3,《པེ་》《སྣར་》,གྱི།,,,,,
,,2183,4,《པེ་》《སྣར་》,འཐོབ།,,,,,
,396,2184,1,《པེ་》《སྣར་》,འཐོབ།,,,,,
,,2185,2,《པེ་》《སྣར་》,ན།,,,,,
,397,2186,1,《པེ་》《སྣར་》,pཉིད།,,,,,
,,2187,2,《པེ་》《སྣར་》,སྔོན།,,,,,
,,2188,3,《པེ་》《སྣར་》《ཅོ་》,བསལ།,,,,,
,,2189,4,《པེ་》《སྣར་》,ལ།,,,,,
,,2190,5,《པེ་》《སྣར་》,རྣམས།,,,,,
,,2191,6,《པེ་》《སྣར་》,རྟོགས།,,,,,
,398,2192,1,《པེ་》《སྣར་》,pམ།,,,,,
,,2193,2,《པེ་》《སྣར་》,ལས།,,,,,
,,2194,3,《པེ་》《སྣར་》,pདང་།,,,,,
,,2195,4,《པེ་》《སྣར་》,ལས།,,,,,
,,2196,5,《པེ་》《སྣར་》,མཛད་པ།,,,,,
,,2197,6,《པེ་》《སྣར་》,mམ།,,,,,
,,2198,7,《པེ་》《སྣར་》,ལས།,,,,,
,,2199,8,《པེ་》《སྣར་》,mཕྱིར།,,,,,
,,2200,9,《པེ་》《སྣར་》,དང་།,,,,,
,399,2201,1,《པེ་》《སྣར་》,ཏོ།,,,,,
,,2202,2,《པེ་》《སྣར་》,ཏེ།,,,,,
,400,2203,1,《པེ་》《སྣར་》,ཏོ།།,,,,,
,,2204,2,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,2205,3,《པེ་》《སྣར་》,mནི།,,,,,
,,2206,4,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,2207,5,《པེ་》《སྣར་》,ལས།,,,,,
,,2208,6,《སྣར་》,mབ།,,,,,
,,2209,7,《པེ་》《སྣར་》,རྟོགས།,,,,,
,,2210,8,《པེ་》《སྣར་》,mནས།,,,,,
,,2211,9,《པེ་》《སྣར་》,ཀྱི།,,,,,
,401,2212,1,《པེ་》《སྣར་》,ཏུ་རྟོགས།,,,,,
,,2213,2,《པེ་》《སྣར་》,mདབང་གི།,,,,,
,,2214,3,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,2215,4,《པེ་》《སྣར་》,པའི།,,,,,
,402,2216,1,《སྣར་》,ཀྱི།,,,,,
,,2217,2,《པེ་》《སྣར་》,རྟོགས།,,,,,
,,2218,3,《སྣར་》,pབ།,,,,,
,,2219,4,《པེ་》《སྣར་》,pལ།,,,,,
,,2220,5,《པེ་》《སྣར་》,རྟོགས།,,,,,
,,2221,6,《པེ་》《སྣར་》,ལ།,,,,,
,403,2222,1,《པེ་》《སྣར་》,གི་ཡོད་པའི།,,,,,
,,2223,2,《པེ་》《སྣར་》,པས་རབ།,,,,,
,,2224,3,《པེ་》《སྣར་》,mནི།,,,,,
,,2225,4,《པེ་》《སྣར་》,བཤད།,,,,,
,,2226,5,《པེ་》《སྣར་》,རྣམ།,,,,,
,404,2227,1,《པེ་》《སྣར་》,mརྣམ་པར།,,,,,
,,2228,2,《པེ་》《སྣར་》,ཏེ།,,,,,
,,2229,3,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,2230,4,《པེ་》《སྣར་》,པའི།,,,,,
,,2231,5,《པེ་》《སྣར་》,བཟློས།,,,,,
,405,2232,1,《པེ་》《སྣར་》,རིགས།,,,,,
