མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,
༄༅། །བཅོམ་ལྡན་འདས་ཡོན་ཏན་རིན་པོ་ཆེ་སྡུད་པའི་ཚིགས་སུ་བཅད་པའི་དཀའ་འགྲེལ་ཞེས་བྱ་བ།,3,2,1,,,,,,,མཚན་བྱང་འདི་ཆོས་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།
,,3,2,《པེ་》《སྣར་》,པཉྩི་ཀ,,,,,
,,4,3,《པེ་》《སྣར་》,mདིང་འདིར།,,,,,
,4,5,1,《པེ་》《སྣར་》,བཟུང་། ,,,,,( འདིའི་འོག་གི་གཟུང་ཞེས་པ་རྣམས་《པེ་》《སྣར་》ལ་བཟུང་ཞེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད། ) 
,,6,2,《པེ་》《སྣར་》,ནས།,,,,,
,,7,3,《པེ་》《སྣར་》,བསྒྲུབ་པར་བྱ།,,,,,
,,8,4,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,5,9,1,《པེ་》《སྣར་》,པ་ནི།,,,,,
,,10,2,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,11,3,《པེ་》《སྣར་》,བསམས།,,,,,
,,12,4,《སྣར་》,གྱིས།,,,,,
,,13,5,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,14,6,《པེ་》《སྣར་》,pནི།,,,,,
,,15,7,《པེ་》《སྣར་》,pཇི་ལྟ་བ།,,,,,
,,16,8,《པེ་》《སྣར་》,pདེ།,,,,,
,6,17,1,《པེ་》《སྣར་》,བརྒལ།,,,,,
,,18,2,《པེ་》《སྣར་》,འཆང་།,,,,,
,,19,3,《པེ་》《སྣར་》,དཔས།,,,,,
,,20,4,《པེ་》《སྣར་》《ཅོ་》,བཞག,,,,,
,,21,5,《པེ་》《སྣར་》,ཅན།,,,,,
,,22,6,《པེ་》《སྣར་》,ལྷ།,,,,,
,7,23,1,《པེ་》《སྣར་》,བསྲེག,,,,,
,,24,2,《པེ་》《སྣར་》,mཐམས་ཅད་དུ།,,,,,
,,25,3,《པེ་》《སྣར་》,གྱིས།,,,,,
,,26,4,《པེ་》《སྣར་》,mཀྱིས།,,,,,
,8,27,1,《པེ་》《སྣར་》,mབ་ལ་སོགས།,,,,,
,,28,2,《པེ་》《སྣར་》,པ།,,,,,
,,29,3,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,30,4,《པེ་》《སྣར་》,འགྱུར་སྟེ།,,,,,
,9,31,1,《པེ་》《སྣར་》,རྣམ།,,,,,
,,32,2,《པེ་》《སྣར་》,mཡང་།,,,,,
,,33,3,《པེ་》《སྣར་》,mཔར་བསྟན།,,,,,
,,34,4,《པེ་》《སྣར་》,mཉིད།,,,,,
,,35,5,《པེ་》《སྣར་》,གཟུང་།,,,,,
,10,36,1,《པེ་》《སྣར་》,mགྱི་དབང་།,,,,,
,,37,2,《པེ་》《སྣར་》,pལ།,,,,,
,,38,3,《པེ་》《སྣར་》,བསྐྱེད་པས།,,,,,
,,39,4,《པེ་》《སྣར་》,mརོ།,,,,,
,,40,5,《པེ་》《སྣར་》,mཞེས་བྱ་བ་ལ་སོགས་པ་སྨོས་ཏེ།,,,,,
,,41,6,《པེ་》《སྣར་》,བལྟོས།,,,,,
,,42,7,《པེ་》《སྣར་》,ཏོ།,,,,,
,,43,8,《པེ་》《སྣར་》,བ།,,,,,
,11,44,1,《པེ་》《སྣར་》,mཉིད་ཀྱི།,,,,,
,,45,2,《པེ་》《སྣར་》,mལ།,,,,,
,,46,3,《པེ་》《སྣར་》,ནས།,,,,,
,,47,4,《པེ་》《སྣར་》,ནས།,,,,,
,,48,5,《པེ་》《སྣར་》《ཅོ་》,mབའི།,,,,,
,,49,6,《པེ་》《སྣར་》,mགྱི་སྡེབ་སྦྱོར།,,,,,
,,50,7,《པེ་》《སྣར་》,ཀྱིས་བྱིན་གྱིས།,,,,,
,a,51,,,,,,,,
,12,52,1,《པེ་》《སྣར་》,ཉེར་བཞག,《ཅོ་》,ཉེ་བར་བཞག,,,(འདིའི་འོག་གི་གཞག་ཅེས་པ་རྣམས་《པེ་》《སྣར་》ལ་བཞག་ཅེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།
,,53,2,《པེ་》《སྣར་》,བཞག ,,,,,
,,54,3,《པེ་》《སྣར་》,སྟེ།,,,,,
,,55,4,《པེ་》《སྣར་》,མངོན།,,,,,
,,56,5,《པེ་》《སྣར་》,mདེ་བཞིན་དུ།,,,,,
,,57,6,《པེ་》《སྣར་》《ཅོ་》,བསལ།,,,,,
,,58,7,《པེ་》《སྣར་》,pབླང་བར།,,,,,
,,59,8,《པེ་》《སྣར་》,མཐོ།,,,,,
,13,60,1,《པེ་》《སྣར་》,pདང་།,,,,,
,,61,2,《སྣར་》,ཏེ།,,,,,
